reviews,sentiment
"This book is such a scam. Dr. Murphy wrote this keeping in mind what his audience wanted to read about-hope, success and greatness. Sadly life is not a cakewalk. He created a bubble for the readers which actually does not exist. I find this very misleading and crooked.PS: if you suffer with anxiety/depression/ptsd or any other trauma or loss, i STRICTLY recommened you to NOT read this, its only going to make things worse for you.",2.0
An inspiring book. If u r a person who is unable to change yourself but unable to do so here is an answer to all ur questions. I loved reading it.. the book gives positive outlook. Delivery and packaging by amazon was superb by amazon,1.0
Some of the concept are good but it looks this book is only for Christians.Each and every place instead of God he is mentioned Jesus and the book covered most part of the Bible.Be universal while writing this kind of book so that it will reach to every individual independent of there religion place,4.0
"Dealing with depression and continuous failures in every field from last 4 or 5 years.... Watched 1000+ motivational, inspirational YouTube videos. But, didn't overcame from problems. ( Videos helped just 2 hours, 6 hours or 2 days max. ) Finally I found this book's recommendation from many websites. And, I bought this book last month. Now, atleast i can say confidently, I'm overcoming from problems. This book is working effectively...😲• Reading Time :-  4:30 AM to 5:30 AM• Understood :- Your Subconscious Mind have power to change everything, Yess! Everything you desire. If you confidently want to awake 4 AM, then your brain automatically awake at 4:00 AM. And, I am experiencing this amazing & magical powers of our mind.• Feedback :- This book has lots more....... Read Daily, Anywhere, in Any situation.",1.0
"Kind of addictive and makes lot of sense. If you believe, then you can make most out of it, else, just an ordinary book.",1.0
"This book can also be called as Power of Your Subconscious Mind: The Universal TruthThis book is a Gem of a book and now I know why this book is in the top rated, best seller and most reviewed book of its time.According to me, this book is a milestone in human psychological development and in understanding the universal truth of why and how a person reacts to a particular situation.I am very much disappointed that I didn’t knew or read this book earlier in my life.The case study in book are awesome, the flow of the book awesome, the knowledge and the study material again awesome.I can talk and praise about this book non-stop, it is a must buy for each and every one of us since the psychological skill is a must to have.I could have paid 10 times more for this book and I am actually surprise it’s so cheap.If you find the review useful, consider clicking helpful!",5.0
"This book more likely keeps making claims without supporting it with substantial rational or scientific basis. Most of it is just stories about miracles, very disappointing since it’s a highly acclaimed book. If you’d actually like to read some good stuff, I would suggest ‘Thinking, fast and slow’ by Daniel Kahneman (Also a Nobel prize winner) and he has done an excellent job at writing critically about the mind.",1.0
"After an extensive reading of this book i personally realised this book leads me to embark on the most wonderful journey  ever,which is the journey within.The Journey within provides solution to all our problems claimed by the author of this book (well known psychologist).He has provided simple cause and effect solution to each problem ( cause is thought and effect is solution). As he termed ""We are what we think all day long.""Joseph Murphy also mentioned that how new habits can be learned or unlearned which affects our daily lives and how thoughts  within controls us all.Personally, i feel this book can be life changing by applying principles of life provided in this book. Which are easy and simple.As Joseph said in this book ""everything is choice, choose life, choose love, choose happiness and the likes.And yes! I suggest don't forget to buy and read this book it will help you lot in your personal life. 😊",5.0
If you believe in scienceThenThis book is totally fakePlease don't read itIf you read you totally waste  your time,5.0
"This book had been sitting on my shelf for quite a while before I picked it up. It was originally recommended to me by my friend.Since I was on a book buying spree, and I was excited about delving into some new material at the time, The Power of Your Subconscious Mind was one among many books I ended up ordering. I’ve finally gotten around to reading it. Of course, it helps that I’ve been in the habit of reading one book per week for several months now.Summary: The Power of Your Subconscious Mind was written by a leading expert on the subject, Joseph Murphy. From my perspective, this book equates your subconscious mind with God, which is likely a different and challenging paradigm for same to accept.",5.0
"Think Positive Always, It helps you in being confident.This is the only Message, the book provides. Everything about all the chapters revolves around this only sentence.The book is full of examples and real life experience of the author, which is not at all inspiring. But boring.Yes I found it really boring to be honest.To describe a simple thing, the author has written 20 different chapters, which is really weird.I mean ""think positive"" has only one meaning, why to exaggerate it like anything?",1.0
"I have had read almost 60% of the book and have happy sweet memories with it. Although it will hook you up for a while, in the midway you might lose interest and then it will again do something to hook you up.If you have determination to complete the book and follow it, you will actually feel quite motivated.",3.0
"Its a great book!This book is basically a user manual of human mind. When we were born, we weren't giving an user manual to understand how to use the advanced machine, that is, our mind, given to us by god.I believe this book is the pathway to understanding the working of our brain and try to gain control over it by series of methods over a period of time which I think are very much effective to living a prosperous life.The thing which really strikes me is, we need to only send good positive thoughts like love, compassion, hope, joy, cooperation, happiness etc to our subconscious mind inorder to make the our way of living better! Its not as easy as it sounds, but we have to practice it from the day we start realizing this fact. And surely we can experience the change!",1.0
"Its one of the best book for ones self development and inner peace. When I started reading this I didn't felt that interesting but after some pages every word of it was great.The thing which I liked the most was that even though there is a lot of information imparted in the book it was easier to read because it is broken into many small sections making the book much easier to read.And specially the last page of the book where you will see the profitable pointers mentioned which helps in  understanding and remembering the important points.Overall it's the best book for self development, growth and mental peace. There is only one drawback that its lengthy in starting of the book but nonetheless a great book. Must read guys.",5.0
"Strongly Recommend The Book. It's A must buy for everyone.📖""Having clearly seen the end, You have willed the means to the realization of the end.""This book is ideal for everyone who wants to be productive in many ways in their life. Once you start reading the book , you'll know the whole game of your subconscious mind.📖""Do the thing You are afraid to do, and the death of fear is certain""The book consists of 20 chapters and every chapter is divided into several small parts, as well as the Writer provided all the summary points at end of the whole chapter. These summary points will help you to get the best review of the every important chapters of the book. Dr. Joseph Murphy has very brilliantly written this book with every useful facts about our subconscious mind and how to get everything thing from this very power everyone have.📖The book is very interesting as I've read it joyfully and it gave me whole new point of view towards my life. Although i applied many lessons of the book into my life and I received the same😎 , I wished for.📖That's why I strongly recommend this book to everyone who wants to have a  joyful, successful, peaceful and inexhaustible life.",4.0
                    The media could not be loaded.                 As of now the book is cool !!!It really describes the real meaning of our soul within us...Need to read and check !,1.0
"                    The media could not be loaded.                 Good condition , I'm reviewing this book after 7-8 months later . It is the special edition . So it looks classy . And beautiful . It was for 400-500 rs . Good read tho .",1.0
Amazing book and I can not guarantee you but definitely assure you that it will by some point help you in day to day activity and to achieve you desired goal.,4.0
"I bought this book becuase, 1) I am starting to cultivate reading habit 2) it had highest rating.. But little did I do to dive in to the ratings..Yes, this turned out to be a worthy choice because of its concept.. But not how the author narrated it..Phew..! As one of the readers mentioned it to be highly exhaustive and repetitive.. It really is.. But good thing is author added the highlights at the end of each chapter and I read only that..If you are up for it.. Then there is a very good take away which I feel is true and I forgot.. Now, I started practicing it in my whole life and I feel great..It starts with a belief.",5.0
"I got a Kindle edition of this book. I read this book and applied each and every bit of writing in my real life and failed like a disaster. This book indeed has no reality with the real life. It speaks about thinking whatever I want and it will happen. Its just a common sense. If this would have been true then there is no need to study at all. Just by thinking that I will top the exam, we could have achieved it. I don't know why this common thing did not come up in mind while reading this book, otherwise I did not have to suffer that failure. Lowest rating is 1 so I have to give it.. otherwise, I don't think this book deserve even rating 1",5.0
"KNOW THAT YOU CAN REMAKE YOURSELF BY GIVING A NEW BLUEPRINT TO YOUR SUBCONSCIOUS MIND""This book is special for me as i started my second innings of reading books from this. It was actually best start as there was need of positive thinking, positivity, motivation in life during that stressful lockdown period last year.In this book, Dr. Murphy combines spiritual wisdom and scientific research to explain how your subconscious mind influences every single aspect of one's life. Though we can't apply all the points in this books which are not practical and seems impossible for me, like we can cure any disease, grow extremely rich, by positive thinking,all these are, I don't think possible. But this book definitely helps us to think positive, feel positive, so we can get positive energy in our life. This book is must read for people who thinks they need some positive motivation to outcome from their disturbing lives.If you are beginner, want to start reading, I think this would be a great book to start.Let me know your opinion about this book if you have already read this. ❤",4.0
"I've read around 100 pages of this book and I am seriously considering whether to read it any further or not.Same thing repeated over and over and over and over and over again. The idea propounded in this book could have easily been discussed within 10 pages at max. But the author has reiterated the same thing innumerable times for 300 pages.Nothing scientific in the this book either. Its heavily dogmatic. Pseudo-religious (in glorifying one particular faith). While there may he merit to the central idea, but the methods explained to harvest the same are down-right foolish.I am surprised that this is an International Bestseller for so many years. You've got to have a non-thinking dead brain to accept what the author is indoctrinating through this book. It's completely unrealistic and impractical.",4.0
A good will never bore you and this book can't get you away from reading it.1. It's Handy and perfect size for quick read.2. Small topics to cover the big topics.3. If you have experienced that you have started understanding your mind then absolutely it's going to amaze you.,5.0
"The book takes you to the world where you can easily change your way of thinking about the things.This book provides a lot of stories about people who changed their life by changing their process of thinking.In short, after reading this book you will never be the person you were.",5.0
"I had several questions in my mind which were answered by the author through this book. The first half enlightens you about tapping the potential of our subconscious mind and in the latter part he discusses about how to deal with different emotions, types of mental prayers and cites numerous examples all through the book.A must read for readers who yearn to seek the meaning of life and the power of mind.",5.0
Same thing is repeated on every page of the book. The author stresses on only one part of the subject by citing numerous daily life examples which may seem somehow inauthentic at some point of the book. I got bored reading the same stuff but with different flavor again and again. I didn't even inspire by the subject matter.This is a highly overrated book.,1.0
"The power to achieve anything in the world lies within you and that is thinking about what you want with feeling and emotion repeatedly. This was the only conclusion which this book teaches us in every chapter and that is a kind of repetition through whole book.As we repeat that single thought it reflects in the way we see things , eventually it changes our actions towards that repeated thought. This actions become habits and habits are the key to achieve our goals.This book is the perfect guide to use our subconscious mind in different fields of our life.""A GOOD BOOK FOR A BETTER AND HAPPIER LIFE""",4.0
"It seems likes some wellness and positive thinking Mumbo jumbo. If all it required to cure cancer or bodily harm was a positive subconscious, then what is the use of modern medicine ?",1.0
"""The world you live in is largely dependent on whats going on in your mind"".A statement which describes what the book is all about. A must-read-for-all book written by Dr. Joseph Murphy.The book very aptly describes that what you want to have, how you want your the situation around you to be or for that matter how you want your life to be, depends on how your conscious mind communicates with your sub-conscious mind. Your subconscious mind is a treasure house within you, which does not argue but accepts what your conscious mind decrees.So in short, if your conscious mind communicates positive thoughts with your subconscious mind, then outcome will always be positive and vice versa.Some key takeaways from the book are as follows;1) your conscious mind is the ""watchman at the gate"". Its chief function is to protect your subconscious mind from false impressions. Choose to believe that something good can happen and its happening now. Your greatest power is your capacity to choose.2) what you write on the inside, you will experience on the outside. You have two sides to your life, objective and subjective, visible and invisible, thought and its manifestation.3) Belief is a thought in your subconscious mind. It means to accept something as true.4) what is popularly termed as faith healing, is the knowledge of the interaction of the conscious and subconscious mind.5) In the healing of the body it is, desirable to secure the concurrent faith of both the conscious and subconscious mind.6) Your subconscious speaks to you in intuitions, impulses, hunches, intimations,urges and ideas, and it is always telling you to rise, transcend,grow, advance, adventure and move forward to greater heights.7) Your subconscious is the builder of your body and is on the job 24 hrs a day. You interfere with its life-giving patterns by negative thinking.Its an interesting read and re-read for people who can understand and then practice to manifest the power of their own subconscious mind.",5.0
"If there is anything very valuable which you can buy at a price range around hundred then I highly recommend you to buy this book, The Power of Subconscious mind written by Dr Joseph Murphy. I need not mention about this book since it is a gem of Self help books.As you all know it is a worldwide best seller published in more than 20 languages around the globeThe main purpose of this book is to provide the readers the value of thinking positively.This book contains points which are like step by step guide to reprogram your mind to achieve your goals.This books strikes straight into your bones with its contents in each and every chapter. This books states various examples describing on whatever Subconscious mind can actually do. It gives in short information about our Hidden WeaponMany facts have been shared along with depicting the life changing experiences of many individuals, which works as a manual to pave path to fulfill our dreamsLast but not least I am personally very satisfied with the Delivery time and the quality of the book. The pages were nice cover was indeed good and totally happy with the quality of the publication, which are like an added bonuses for my reading experience",1.0
On the back side of the book it is written:  'A book that will change your life' and truly it has the potential to change someone's life.Once you understand the concepts and accept them in your life you'll feel the change. You'll be more positive and energetic.,5.0
"Truly one of amazon's best reads. This book will transform u for the best. Chapter after chapter, line after line it's as if somebody is revealing to u, the truth u weren't aware of all these days. I am passing on this book to a friend who needs this, I urge anybody reading this review to read it, and suggest it to Ur friends and relatives as well. Afterall, ultimately all we are, is just a 'thought', so let's be the best one at that.. !",5.0
"There are 2 aspects of the book, let me try to explain these in my way.First Aspect: It is true that the mind has ability to control your body & emotion. Even in situation of utter pain one can find peacewhereas another can get depress in peace feeling lonely. Technically your mind has this ability, but now the question is how you control this ability and use it in the way you want…., and the answer is by ""Believe"".Once you start believing positively in something and you put all your efforts and focus to it there are far better chances of you achieving it in comparison to the person who is putting efforts but does not believe in achieving the goal.Let’s take an example of a competitive examination which is very difficult and only very few people can pass this examination. Now, there are two portions of the mind which author has named as conscious and sub-conscious. Your conscious mind works on logical reasoning and understand things in a very practical manner, your logical mind can see this as very difficult exam as only 2% of the people clears it, every year 2 lac people gets failed in this exam and like this all sorts of logical and practical approach is being used by mind to assess the success chances you have. On the other side you have sub-conscious mind which tells you that you can make it as you have blessing of your mother, God is on your side, your religious guru has also predicted the future and confirmed that you will make it. Ultimately your sub-conscious mind gives you enough confidence to put all your efforts and focus believing that this is your destiny and you will success.Eventually the person has more chances of clearing this exam if he uses his subconscious mind and hard work together. The author in this book has used various techniques for teaching how to program your subconscious mind so then you can artificially create this believe on, as and when required basis.But the key to access to subconscious mind is “true” believe (not just ordinary believe) and here comes the superstition in picture. There is a very fine line between true believe and superstition. And it’s very difficult to see this fine line and manage yourself to be part of non-superstition side while strengthening your believe. Like Keep fast, donate money, perform rituals, please religious gurus to strengthen yours believe in God but wait a minute…. Aren’t these all are superstition?Second Aspect: There are instances where author has referred to the law of attraction (from book secret of Rhonda) where he says that by only truly believing and using your subconscious mind without hard work you will be able to achieve something, and I totally disagree with this. If this would have been true than all sons of mothers would have become Bill Gates and all girls would beenmarried with the boys who had big time crush on these girls.There are two kinds of people in this world. One which likes the idea of his life being in the divine hand of God assuming that God will always do good for him and another who does not like the idea of his life being in somebody’s else hand and they are more comfortable with the idea of their life's control in their own hand, which type are you of?",4.0
"This is one of the *first* books one should read if they're interested in learning about the capabilities of their mind. There are more detailed books out there, but this is concise and perfect for a beginner.Keep an open mind when reading this, and you'll be fascinated at the amount of knowledge 300 pages can hold. Filled with anecdotes to explain in detail certain concepts. If it seems repetitive, it's only to emphasize the importance of those particular lessons.You. Need. To. Read. This.",3.0
"                    The media could not be loaded.                 This is a counterfeit product, pages are of low grade quality. Some page are so thin that the ink is visible from back side. Not sure is someone is watching quality of products. It is a waste of money. Surprised how people are rating 5, unless only I got the wrong book.",3.0
"I didn't expect the way this book turned out to be. The author has, while talking about the subconscious mind; has completely neglected the practicality and reality of one's life; and mental pictures of such things are unable to take. I was waiting for a bit of uoliftment every now and then, but I was sadly disappointed. There are some great lines/thoughts in the book, but, the book doesn't really fulfill its purpose of what it's meant to be; that is, finding and applying the power of one's subconscious mind. This is my opinion; one can obviously read and decide accordingly :)",1.0
I thank the author Mr Joseph Murphy because I have been struck up in my life due to fear of failure so what I am going to do in my future bec I am way less what i need to do to come up in my life...there are positive and negative things in our life day today... so here the review i have seen before buying in amazon is also the same positive reviews and negative reviews so just go head with positive.... so I also gone with a positive reviews by buying this book after reading this book I have got an idea where I have done mistake in my past so I am suffering right now what I should do right now to correct my mistakes and to be an  successful personso and the fear of failure i overcomed and i am doing good.....not only that I have learn how to control my mind if it's go in a negative way and to put it in a positive and to go head in life.,5.0
"“The power is of the scriptures” - any reader must find content that speaks to them. For a person w a continuous reading habit, this book is too mundane and has biblical references which people like me (atheists, non denominational religions, non Christians) may not relate to that well. The point is understood but it’s been repeating in mainstream books & contexts for almost a decade now.",5.0
"Explore new ways of thinking, strengthen your will. I am a med student and this book is written by a Dr about subconscious mind but not for a single topic complex medical terms are used, it is written in a very simplistic way that anyone can read it and understand… must read it will give you one additional power to keep you strong on your way to become successful",4.0
"The stuff that you're getting for the price is simply unbelievable. As an ex-convinced atheist, I have actually connected with my spiritual self, and now I can say that I'm a lot more spiritual. The techniques in this book actually work. If you're a Hindu, then it would be much easier for you to understand. Dr. Joseph Murphy had taken his inspiration from Hinduism anyway. These techniques can be applied in any form of life whatsoever. You can even be a maid cleaning dishes in someone's house and still apply these techniques in your life and live a much better and fuller life. There is simply no reason to not buy this book unless you are too lazy to read.",1.0
"I've never known what it was but I did experience such magical things...as mentioned in this book. And now I know it's not magic but our very own subconscious mind. Tremendous power it has got. And I'm believing it cause I know very well that it does work. The other day, much before even reading this book, before sleeping at sharp 10 pm, I had told myself very strongly that I need to wake up at 4 am by all means and I had checked my alarm too. The next day I woke up just 5min before 4...I checked the time since I was awake already. I was so surprised...I had woken up without an alarm and that too at the right time. And now I know its called ""The power of the subconscious mind."" I'm wanting to believe this till the very end and at every point in my life, thanks to this book.",5.0
"I recently completed this book.i took the whole one month to finish this book...there will be so many people which will say that the thoughts which are written in this book are totally imaginary or they don't relate to anyone but I have a completely different conclusion..first of all, this book completely changed the way of my thinking.. There are so many examples are there which we can completely relate to us..this book is not only for reading..this is a book for using..that's why I took a whole month to complete it. From this single book, I learned 100s of new things. At last, I want to quote, AS A MAN THINKETH, SO IS HE..and this is a real truth of life. I am feeling blessed that I read this book..😇",5.0
"Apart from the beginning, the book is full of utter nonsense, non relevant biblical references and make believe thoughts trying to undermine medical science. It's  funny to believe even half of the stuff mentioned in the book",5.0
"It's the most over-stretched book I have ever come across, It's the same thing written over 500 times!!If this book had 5-10 pages then I would have said this is a great book!Apart from that, the way the author has explained subconscious isn't that practical, He should have also explained the reality and the parameters of the subconscious mind. How will the author explain that a person going paranoid by assuming one thing which never happened? His subconsciousness is obviously very strong to make it a reality, Why that thing never works?The end conclusion is in 2 words, not an alphabet more: Be PositiveHowever, our mind is a very powerful machine but the way this book is written is not the right way & I highly doubt a few incidents mentioned in this book! If you read it you will be stuck in a weird state of mind!If you don't believe it then you can try it, It's under rs100 only!!",5.0
This is a half way review. The book is a boost to your mental strength and would imbue to achive anything by connecting with the subconscious mind.The method of triggering your objective mind has been explained in details. This can Indeed hone your imagination skills to replace negative thoughts with postive - the shift has been explained. It's startling to know the subconscious mind majorly contributes to your achievements by deliberately put to use is the foundation of this book. The language is cogent and the eloquence is just great.You will dwell in positivity and master the conscience after a half way read through.,1.0
"This book will change your perception, life, behaviour, feeling, faith, etc.You'll feel sorted out and important the power which you kept hide from yourself that was always with you.I think words are not sufficient for describing about the book, you need to buy a copy.Outstanding mixture of scientifically and spirituality things.Highly recommended",2.0
It’s alot about Christianity. I was not looking for a book that goes into religion so it’s not my cup of tes,5.0
"This book contains many inspirational incidents where the power of subconscious mind changed the life of so many persons, the cover of the book is beautiful and the size of the book is also very good to hold and read. It give you a greater picture and positive approach to think. It teaches us to think positive to get success and become a winner. I love this book and I recommend it to everyone.",3.0
"I think even the local made glue has more strength than the glue used in this book for binding. And by looking at the paper quality, I'm suddenly feeling more respect towards my academic books.",4.0
"It's remarkable. It's is so good that I can not define it in words. Read it asap to make your life great.The great publication I have ever reviewed. This publication is powerhouse of positivity. Schedule will certainly offer deep expertise about our mind. Among the very best publication I have ever seen.I absolutely advise everyone to read this publication a minimum of one.A have to check out by students, educators, workers, experts, and all others consisting of homemakers. If exercised, I would certainly say this publication will definitely make your life better and much better.",5.0
"Its not that good of a book. Writer is telling same thing over & over again & its just filled with examples. No convincing statement , no reasoning , no explaination. Just couple of not very unstronf affirmations & 1 thing that your belier system is everything. There are better books on LOA than this. It just have 10-15 examples thats it.",4.0
"Perfect for a philosophical mind who sinks into depth of matter. Really efficient for students as well. Good methods to overcome stress, loneliness and distractions. Basically to destroy unneessary thoughts and ways of life. It tells how your subconcious mind located in the cerebrum can contribute to your day to day life. Amazing book. Must buy if you want to enjoy as well as come up to do something extraordinary in life. Has answers to alsmost all day to day stress relieve questions as well as other interrogations.",1.0
"there are a few things in this book that i strongly disagree with, to be more precise, find it impossible to believe. This book gives various examples of people having unique experiences in their life which were handled by the power of their mind. Miracles do happen, totally agree with that, but generalizing it as something which will always happen and if it doesn't then you are doing it wrong is the main point that i don't agree with.But at the same time, if you are someone who has interest in psychological impacts that occur due to ones own thoughts then this is a pretty good book for you. It will give you a thorough insight on various experiences of people with different problems and the way they dealt with their problems.As i said earlier, there are a few things that you won't agree with but its worth a shot",4.0
"No complains with Amazon for their service in terms of the price, quality and delivery. However, the book itself is utterly disappointing. Right from the cover page, it starts building the hype that something amazing will be revealed, which will help one solve their problems. Once the core idea of the book is out, the rest of pages look meaningless. The author pulls some random (probably undocumented) examples to support his point. At times, he makes it sound like some magic. Please see the attached image for reference.I have earlier read similar books which inspired me and changed my outlook. This one didn't help at all. I feel it would have been better off as an essay than a book.",5.0
"Two stars for certain motivational lines and for good use of the language. But, the book is based on the mediocrity of a lay man's view. Nothing much given that can be backed either by science or philosophy. In the end, nothing good will come out after you finish this .",1.0
"A must read. This book is a real motivation. Open up any page any time, and it's bound to make you feel better. For me, it is a regular read. I always have this around me for that extra dose of motivation when I'm running low. Makes for a great gift as well. The language used is pretty lucid and the author engages you with his storytelling. The facts in it are true, those who believe in the law of attraction will understand the important role the subconscious mind has to play in it. Absolutely a must-have for all ages.",1.0
"This book gives some interesting insights about subconscious mind in its first few pages only.(If you are happy with it, then buy this book).After that, its full of repetitive... Blah.. Blaah... Usually I won't give pessimistic review about any books because I know how difficult process it is to write a book after years of research. I repect the author for delivered us this amazing research on subconscious mind. But the content in the book after 3rd chapters are useless bcz of the repetition of the same concept over & over again. Infact I quit reading this book after completing 5 chapter. This concept may be presented as a blog or an article rather than a book.",5.0
"The negative thoughts always appear in one's mind, but a few can convert them into positive ones. How? By using their subconscious mind. Dr. Joseph Murphy recommends praying before going to sleep, send generous and heartfelt thoughts towards others (like reiki) because what you give is what you receive.",5.0
If the book won't change your life I'm definitely sure that it will change ur attitude and bring major changes in ur way of thinking and looking at situations and opportunities. It will also open new perspective to life and ways of  applying scientific principles of energy to your life.,3.0
"It's a baseless theory, originated from the mind of author and has no practical scientific proof. The author throughout the book tries to only brainwash you through incongruent citations of his experience to prove the validity of his theory. In a nutshell it's a good read for those who are looking for an alternate religion which can be blindly followed.",5.0
"Dr Murphy is so accurate in explaining things, it's like layman's language ( I found it that comprehensive). This book blew my mind. I've been thinking about human brain for so long. Our subconscious' power. Woah. Just thinking about how toddlers communicate and understand things itself is  amazing . Our body, brain and mind is so awesome. It's amazing how much we are capable of just by using such a limited portion of our brain. Kudos 👌",1.0
"This book is designed in an efficient way to reprogram your subconscious mind. No matter what phase of life you are in, this book is going to help you. The start may seem boring initially but as you read further, you will be amazed with the content and your interest goes deeper as you experience the things written to be true in practical life, in your life!The packaging was good.",4.0
"Once you go through the book, u will see something in your life happened because of subconscious thinking, that u were actually unaware. The more you proceed better u will understand. You have to read 2-3 times at some instances to know what really author is trying to say but that’s good.The lines imprints on your mind. At the end ur thinking perspective will change",4.0
My personal opinion: This book dint not help me in any way. The whole book is series of the same story in different ways. Yes in life we have to think positively and proceed. But this book claims like we have to think positively and our subconscious mind will make it happen automatically even if it's moving mountains or curing diseases.No in reality things won't work that way. For everything might be work or health we need to take step. Nothing comes easy just by chanting and waiting for the magic to happen.,1.0
The very good book I have ever read. This book is powerhouse of postivity. Language is very easy even you can understand every word without translating on Google. Book will provide deep knowledge about our mind. How can we take important decision of life and how to get happiness and joy in life is main motive of this book.I am reading it from last 10 days and I would suggest this if you are not able think in some situations of life this book will get mirackes in your life.,1.0
One of the best reads in self help(psychology ).Go for it without thinking and think with each line as you read. Compare your personal experiences with each line and you will come to know what you can or could have done for the situation or results to be better.Soul filling book.Teaches about the working of concious and subconcious mind.A must read forAll types of People in any field whether a lawyer or an engineer.It may give you better decision making abilities in your life if you practice the concepts given in the book CONSISTENTLY. If you are CONSISTENT then it can do miracles.Otherwise you are wise till you read the book and will forget to apply the principles once the book gets over.So be CONSISTENT in reading and applying.Many people do not know about the power within themselves to do things they can't even imagine.It all depends on the programming of their mind which they themselves do daily knowingly or unknowingly.,5.0
"This edition of the book is not original, looks duplicate. Also the cover page quality is not good. The number of pages were less than those mentioned in the product description. When compared to the table of contents in the original book, each chapter in THIS book is covered in less no. of pages. Either they have reduced the content or have not included some paragraphs from the original book. Page quality is also poor.",4.0
"This is perfect book to understand how our mind works and how our habitual thinking is set.With techniques and teachings shared in this book, we can train our mind to think in correct direction and always move ourself in path to achieve our goals, dreams, likes and interests.The techinque of daily scientific affirmation explained in book truely helps to develop positive habitual thinking. Over a months of practicing the affirmation techniques mentioned in this book, I am seeing more postive changes in my life. I am experiencing more eneregy and satisfaction throughout a day using tricks of working on attitude.Would recommend to - who want to know how our mind works, how attitue plays great role for any growth and who also believes in spirituality.",1.0
